id;categoria;palabra;archivo_imagen;descripcion_actual;descripcion_ocr;descripcion_corregida
LSP-000243;animales;araña;imagenes/animales/revisar_pagina_199_tarjeta_01.png;;Con los dedos semiflexionados y extendidos realizar movimientos de avance con el indice, medio, anular y mefiique.;Con los dedos semiflexionados y extendidos realizar movimientos de avance con el indice, medio, anular y mefiique.
LSP-000244;animales;buho;imagenes/animales/revisar_pagina_199_tarjeta_02.png;;BUHO} Kah WG SAIS ve ve ( cy ojos con movimientos suaves.;
LSP-000245;animales;burro;imagenes/animales/revisar_pagina_199_tarjeta_03.png;;A) Colocar la mano derecha en la sien con los dedos indice, medio, anular y mefique semiflexionados excepto el pulgar moviéndolos hacia adelante.;A) Colocar la mano derecha en la sien con los dedos indice, medio, anular y mefique semiflexionados excepto el pulgar moviéndolos hacia adelante.
LSP-000246;animales;caballo;imagenes/animales/revisar_pagina_199_tarjeta_04.png;;4 5} Con ambas manos con los dedos flexionados excepto el pulgar, a cada lado del tronco realizar movimientos circulares hacia adelante.;4 5} Con ambas manos con los dedos flexionados excepto el pulgar, a cada lado del tronco realizar movimientos circulares hacia adelante.
LSP-000247;animales;chancho;imagenes/animales/revisar_pagina_199_tarjeta_05.png;;awn — ‘ Vee Apoyar en las fosas nasales los dedos indice y mediojuntos y realizar un movimiento hacia arriba.;
LSP-000248;animales;cocodrilo;imagenes/animales/revisar_pagina_199_tarjeta_06.png;;COCODRILO Weg i> Va B B . a \ 2, Con ambas manos unidas ala altura de las muflecas y separadas a nivel de los dedos realizar movimientos de apertura y cierre.;
LSP-000249;animales;concha de mar;imagenes/animales/revisar_pagina_200_tarjeta_01.png;;<a rm a Noe boa ‘\ a @ : a ~ A v ‘O) ° o eas whe .7 id 1 See ae” -_ * ee Oy a ~S—~_ 7 sme 1. Colocar ambas manos con los dedos unidos, las mufiecas en contacto y la parte central separada. 2. Configurar la sefia de mar.;
LSP-000250;animales;cóndor;imagenes/animales/revisar_pagina_200_tarjeta_02.png;;CONDOR ° i (1) Y } ° 4 ' i ZG. = r* Vy) OmaN OK 1. Colocar delante de la nariz el dorso de la mano derecha con el indice semiflexionado. 2. Flexionar los codos y los brazos con movimiento de aleteo.;
LSP-000251;animales;conejo;imagenes/animales/revisar_pagina_200_tarjeta_03.png;;CONEJO Hp 6 yA? is ING) Colocar ambas manos con el dorso hacia afuera, ala altura de la sien. Mover los dedos indice y medio, los demas dedos flexionados.;
LSP-000252;animales;culebra;imagenes/animales/revisar_pagina_200_tarjeta_04.png;;Re Colocar la mano izquierda a la altura del antebrazo derecho extendiendo el indice en ambas manos. Avanzar con movimientos ondulatorios.;
LSP-000253;animales;elefante;imagenes/animales/revisar_pagina_200_tarjeta_05.png;;ELEFANTE — AN > OY RAS Con las yemas de los dedos a la altura de la boca hacer un movimiento hacia delante (simulando una trompa), uniendo los dedos.;
LSP-000254;animales;gallina;imagenes/animales/revisar_pagina_200_tarjeta_06.png;;(s 0) \\ 1. Unir y separar los dedos indice y pulgar con movimiento ala altura de la boca. 2. Colocar el pulgar e indice haciendo pinza, sobre la palma de la mano izquierda.;
LSP-000255;animales;gallo;imagenes/animales/revisar_pagina_201_tarjeta_01.png;;\ WZ \ 2 Llevar la mano con los dedos extendidos en posici6n vertical sobre la cabeza, con movimiento hacia atras y hacia adelante.;
LSP-000256;animales;gato;imagenes/animales/revisar_pagina_201_tarjeta_02.png;;"ewe O<¥ LJ R "", (| 7 y a ( _—— / \ | / Unir las yemas de los dedos indice y pulgar, los demas dedos extendidos llevarlos sobre el labio superior realizando movimientos hacia afuera.";
LSP-000257;animales;gusano;imagenes/animales/revisar_pagina_201_tarjeta_03.png;;Apoyar el indice semiflexionado de la mano derecha, sobre el dorso de la mano izquierda, con movimiento de avance hacia el antebrazo.;Apoyar el indice semiflexionado de la mano derecha, sobre el dorso de la mano izquierda, con movimiento de avance hacia el antebrazo.
LSP-000258;animales;jirafa;imagenes/animales/revisar_pagina_201_tarjeta_04.png;;~~” FF YY %, - s ‘ iN ~ ‘ A * *. s s s § se s e s sw Llevar los dedos semiflexionados de la mano derecha hacia el cuello y realizar un movimiento recto hacia arriba.;
LSP-000259;animales;león;imagenes/animales/revisar_pagina_201_tarjeta_05.png;;"LEON t\ e 6 Av ( / 1) GS ""as @ ww < YK ae [2 wy XY NA; Con los dedos extendidos de la mano derecha, colocada en la parte central de la cabeza realizar un movimiento hacia atras con todos los dedos.";
LSP-000260;animales;llama;imagenes/animales/revisar_pagina_201_tarjeta_06.png;;~ _~ ) Uniendo los dedos anular, medio y pulgar, los otros dedos extendidos, realizar ligeros movimientos.;
LSP-000261;animales;loro;imagenes/animales/revisar_pagina_202_tarjeta_01.png;;\ Llevar hacia la nariz el indice derecho semiflexionado, la cara palmar de mano hacia afuera.;
LSP-000262;animales;mariposa;imagenes/animales/revisar_pagina_202_tarjeta_02.png;;Cruzar las manos con las palmas hacia adentro entrelazando los pulgares, efectuar movimientos conlos dedos.;Cruzar las manos con las palmas hacia adentro entrelazando los pulgares, efectuar movimientos conlos dedos.
LSP-000263;animales;mono;imagenes/animales/revisar_pagina_202_tarjeta_03.png;;eal or Colocaren lacabezala mano derecha y el pecho la mano izquierda, hacer movimientos con los dedos.;
LSP-000264;animales;mosca;imagenes/animales/revisar_pagina_202_tarjeta_04.png;;6, Unir indice y pulgar de la mano derecha, los demas dedos extendidos y efectuar un movimiento ondulatorio hacia la derecha.;
LSP-000265;animales;oso;imagenes/animales/revisar_pagina_202_tarjeta_05.png;;J- e {77 Cruzando los brazos sobre el pecho ejecutar movimientos con todos los dedos.;
LSP-000266;animales;oveja;imagenes/animales/revisar_pagina_202_tarjeta_06.png;;OVEJA th K/ ma > / aN elf CH o Cb _ IN Apoyar el dorso de los dedos indice y medio extendidos y recorrer desde la mufieca hasta el antebrazo.;
LSP-000267;animales;pájaro;imagenes/animales/revisar_pagina_203_tarjeta_01.png;;PAJARO S 0) 5, = —= s @ ‘ —= — 1. Unir y separar con movimiento el indice y pulgar dela mano derecha, ala altura de los labios. 2. Flexionando los codos extender las manos hacia los lados realizando movimiento de aleteo.;
LSP-000268;animales;pato;imagenes/animales/revisar_pagina_203_tarjeta_02.png;;ed MS ( \ a Rae aes 4 ~ 2 ‘4 \ z em ).' ¢ o Movimientos de union y separacion de los los dedos delamanoderecha alaaltura dela boca.;
LSP-000269;animales;pavo;imagenes/animales/revisar_pagina_203_tarjeta_03.png;;Con los dedos pulgar e indice a la altura de la nariz, realizar un movimiento hacia abajo.;Con los dedos pulgar e indice a la altura de la nariz, realizar un movimiento hacia abajo.
LSP-000270;animales;perro;imagenes/animales/revisar_pagina_203_tarjeta_04.png;;PERRO - J _a (ot) } Va) “tif \ | / ENN ) ‘ | T 2. Golpear suavemente la pierna con la mano derecha.;
LSP-000271;animales;pescado;imagenes/animales/revisar_pagina_203_tarjeta_05.png;;Be Colocar la mano derecha con los dedos hacia adelante, realizar un movimiento ondulatorio con la mano.;
LSP-000272;animales;pollo;imagenes/animales/revisar_pagina_203_tarjeta_06.png;;POLLO Cd =a - Unir y separar los dedos indice y pulgar delante dela boca.;
LSP-000273;animales;sapo;imagenes/animales/revisar_pagina_204_tarjeta_01.png;;“a 7 ue ‘ 4 rd ef eo @ e 4 palma derecha ahuecada sobre la palma de la mano izquierda, con movimientos de salto.;
LSP-000274;animales;toro;imagenes/animales/revisar_pagina_204_tarjeta_02.png;;7X ay Apoyando los pulgares en la sien, el dedo indice extendido, los demas dedos flexionados sobre la palma, llevar la cabeza hacia adelante.;
LSP-000275;animales;tortuga;imagenes/animales/revisar_pagina_204_tarjeta_03.png;;Cubrir el dorso de la mano izquierda flexionada con la palma de la mano derecha dejando libre el pulgar izquierdo en movimiento.;
LSP-000276;animales;Vaca;imagenes/animales/revisar_pagina_204_tarjeta_04.png;;Configurar “Y” con ambas manos, apoyar los pulgares extendidos en la sien, realizar un pequefho movimiento hacia arriba.;
LSP-000277;animales;zancudo;imagenes/animales/revisar_pagina_204_tarjeta_05.png;;ZANCUDO Uniendo los dedos pulgar e indice de la mano derecha, llevarlos sobre el dorso del pufio de la mano izquierda con movimiento de arriba hacia abajo.;
LSP-000278;animales;zorro;imagenes/animales/revisar_pagina_204_tarjeta_06.png;;ZORRO Zi @ (or J Wn nn 8%, 5 y, 1. Con la mano derecha abierta sobre la cara, realizar un movimiento hacia afuera, uniendo los dedos. 2. Configurar la letra Z.;
LSP-000414;juguetes_juegos_deportes;avión;imagenes/juguetes_juegos_deportes/revisar_pagina_207_tarjeta_01.png;;AVION a~ \ Con los dedos pulgar, indice y mefique extendidos, describir un movimiento semicircular hacia arriba.;
LSP-000415;juguetes_juegos_deportes;muñeca;imagenes/juguetes_juegos_deportes/revisar_pagina_207_tarjeta_02.png;;ANY WY = (\ — => |) 2 —” 2. Configurar la sefia de bebé.;
LSP-000416;juguetes_juegos_deportes;trompo;imagenes/juguetes_juegos_deportes/revisar_pagina_207_tarjeta_03.png;;TROMPO iN : HD @ Sefer a) \ | — ‘i —~ \ NC Z, 1.Accién de enrrollar la pita en el trompo. 2. Lanzar y recibir en la palma de la mano. >;
LSP-000417;juguetes_juegos_deportes;tren;imagenes/juguetes_juegos_deportes/revisar_pagina_207_tarjeta_04.png;;TREN _—-—~ oT \ 7 “N / \ I Vv \ \ Sd \N — ~ — Con los dedos indice y medio extendidos de la mano derecha, realizar movimientos circulares hacia adelante.;
LSP-000418;juguetes_juegos_deportes;tambor;imagenes/juguetes_juegos_deportes/revisar_pagina_207_tarjeta_05.png;;"TAMBOR (7 ~\ ; \ ’ y < / ) 7 \\ SY >~™~ Sp X<™X";
LSP-000419;juguetes_juegos_deportes;soga;imagenes/juguetes_juegos_deportes/revisar_pagina_207_tarjeta_06.png;;SOGA] ~~. / \ ( \ \ sss ) / = Z } / . Vie ! ! \ | ( | = | \ ! \ | \ / \ / NN . Y Acci6on de saltar la soga.;
LSP-000420;juguetes_juegos_deportes;soldado;imagenes/juguetes_juegos_deportes/revisar_pagina_208_tarjeta_01.png;;ey an ( (Wa;
LSP-000421;juguetes_juegos_deportes;dados;imagenes/juguetes_juegos_deportes/revisar_pagina_208_tarjeta_02.png;;DADOS - 0) 3 y) \ \ \ \ or @ MF es . wa);
LSP-000422;juguetes_juegos_deportes;cubo;imagenes/juguetes_juegos_deportes/revisar_pagina_208_tarjeta_03.png;;"CUBO @ ~~ ad a I | I | SKA po FrZ TY | ; L | $<———@ ~ lew ~ Ee ambas manos.";
LSP-000423;juguetes_juegos_deportes;yases;imagenes/juguetes_juegos_deportes/revisar_pagina_208_tarjeta_04.png;;"om; YASES ‘ao! Ow"" t ~Op —_ x A N = ou @ 1.Accién de lanzar la pelota. 2.Accién de recoger los yases.";
LSP-000424;juguetes_juegos_deportes;pistola;imagenes/juguetes_juegos_deportes/revisar_pagina_208_tarjeta_05.png;;PISTOLA in —_. a yy \ N) Con los dedos pulgar e indice extendidos y separados, dirigidos hacia adelante hacer pequefios movimientos con el indice.;
LSP-000425;juguetes_juegos_deportes;pelota;imagenes/juguetes_juegos_deportes/revisar_pagina_208_tarjeta_06.png;;PELOTA @ a \ \ ana | \\ Yo 4 “ J NL ) } 7 _7;
LSP-000426;juguetes_juegos_deportes;voleybol;imagenes/juguetes_juegos_deportes/revisar_pagina_210_tarjeta_01.png;;VOLEYBOL -_ — y ed ~~ ay A RK I\A BA — a SZ C Vv Ademan de jugar la pelota con las palmas extendidas de ambas manos.;
LSP-000427;juguetes_juegos_deportes;tenis;imagenes/juguetes_juegos_deportes/revisar_pagina_210_tarjeta_02.png;;TENIS \ » XN /~-+>y 7 = 4 \ ane ‘. \ xj __, 4 => Var, \ ) \ NX a Accion de coger la raqueta y golpear con ella la pelota.;
LSP-000428;juguetes_juegos_deportes;ciclismo;imagenes/juguetes_juegos_deportes/revisar_pagina_210_tarjeta_03.png;;CICLISMO \ ( C ta );
LSP-000429;juguetes_juegos_deportes;atletismo;imagenes/juguetes_juegos_deportes/revisar_pagina_210_tarjeta_04.png;;ATLETISMO Disefar con el cuerpo la postura de inicio de la carrera.;
LSP-000430;juguetes_juegos_deportes;motociclismo;imagenes/juguetes_juegos_deportes/revisar_pagina_210_tarjeta_05.png;;MOTOCICLISMO WY ( WwW Con las manos en pufo realizar a la altura de las mufiecas movimientos hacia atras y hacia adelante.;
LSP-000431;juguetes_juegos_deportes;pesca;imagenes/juguetes_juegos_deportes/revisar_pagina_210_tarjeta_06.png;;PESCA y, Colocar las manos con los dedos flexionados excepto el pulgar, la mano derecha detras de la izquierda y realizar accidn de lanzar hacia adelante con movimiento de ambas manos.;
LSP-000432;juguetes_juegos_deportes;boxeo;imagenes/juguetes_juegos_deportes/revisar_pagina_211_tarjeta_01.png;;BOXEO =~. — _ wae) ‘ —_ _—7_ i ~N , wy _ . Colocar los pufios cerrados con movimientos alternados de adelante hacia atras.;
LSP-000433;juguetes_juegos_deportes;ajedrez;imagenes/juguetes_juegos_deportes/revisar_pagina_211_tarjeta_02.png;;AJEDREZ Con los dedos pulgar e indice hacer movimientos simulando coger las fichas.;
LSP-000434;juguetes_juegos_deportes;automovilismo;imagenes/juguetes_juegos_deportes/revisar_pagina_211_tarjeta_03.png;;AUTOMOVILISMO 3 | sOAGw \ / N er id timon del auto. >;
